Title,Abstract
"Zfp69, Znf642 and Znf643 as markers for obesity-associated diabetes","The present invention relates to the genes Zfp69, Znf642 or Znf642 and their use as genetic markers in obesity-related diabetes. Zfp69, Znf642 or Znf642 provide valuable tools both for diagnostic as well as therapeutic approaches, in order to treat or prevent obesity-related diabetes."
LOW MOLECULAR WEIGHT SILK COMPOSITIONS AND STABILIZING SILK COMPOSITIONS,"The present disclosure provides certain silk-fibroin compositions with particular characteristics and/or properties. In some embodiments, the disclosure provides low molecular weight compositions. In some embodiments, the disclosure provides silk fibroin compositions that comprise an active (e.g., a biological) agent or component. In some embodiments, the disclosure provides low molecular weight silk fibroin compositions that comprise an active (e.g., a biological) agent or component. In some embodiments, an active agent is stabilized in a silk composition, e.g., for a period of time and/or against certain conditions or events. In some embodiments, a component present in a silk fibroin composition may be subject to analysis and/or characterization. In some embodiments, a component present in a silk fibroin composition may be recovered from the composition."
Functional arrays for high throughput characterization of regulatory elements in untranslated regions of genes,"This invention provides libraries of expression constructs having different untranslated regions (UTR) from a genome. The expression constructs include transcription regulatory sequences operably linked with a reporter gene and a 5' UTR, a 3' UTR or both, wherein the translation of the reporter gene is under the regulatory control of control regions in the UTR sequence. The libraries of this invention are useful for determining the impact of regulatory sequences in the UTRs on translation of open reading frames under a variety of conditions, such as different cellular environments."
PRE-SURGICAL DIAGNOSTIC TOOL USING BIOMARKERS TO EVALUATE THE RISK FACTORS OF POST SURGICAL COMPLICATIONS,"A method of electronically diagnosing a cause of an inflamed and/or painful joint of a patient using a joint specific biological material, the method including: receiving, data regarding tests performed on the joint specific biological material"
IMMUNOTHERAPY FOR IMMUNE SUPPRESSED PATIENTS,"A diagnostic skin test for predicting treatment outcome, consisting essentially of an effective amount of an NCM or a T lymphocyte mitogen of muromonab- CD3. A kit for performing a skin test consisting essentially of an effective amount of an NCM or a T lymphocyte mitogen of muromonab-CD3. A method of performing a skin test on a patient, consisting essentially of the steps of administering an effective amount of an NCM or a T lymphocyte mitogen of muromonab-CD3 to skin, analyzing results of the skin test, and predicting a treatment outcome. Methods of detecting defects in monocyte or T lymphocyte function, including the steps of administering an effective amount of an NCM or T lymphocyte mitogen of muromonab-CD3 to skin, analyzing results of the skin test, and detecting at least one defect in monocyte or T lymphocyte function. A mechanism for indicating a functioning efferent or afferent limb of an immune system, including a diagnostic skin test including an effective amount of an NCM or a T lymphocyte mitogen of muromonab-CD3."
CONTROLLED RELEASE VEHICLES HAVING DESIRED VOID VOLUME ARCHITECTURES,"Controlled release vehicles may include a polymeric matrix that comprises the polymeric matrix comprising at least one selected from the group consisting of an ethylene copolymer, an ethyl cellulose, a thermoplastic polyurethane, any partially crosslinked polymer thereof, and any combination thereof and has a desired void space architecture."
HEDGEHOG SIGNALING IN PROSTATE REGENERATION NEOPLASIA AND METASTASIS,"Elevated Hedgehog (Hh) pathway activity, including ligand stimulated Hh pathway activity, was detected in prostate tumors, and determined to be associated with growth and proliferation of the cancer cells. Accordingly, methods are provided for treating a prostate cancer associated with elevated Hh pathway activity by reducing or inhibiting the Hh pathway activity. Also provided are methods of determining the responsiveness of a prostate tumor to treatment with an Hh pathway antagonist."
Method of Treating Cancer by Intratumoral Deposition of Radioactive Microparticles,"A composition of microparticles includes a non-radioactive and a radioactive isotope, and an injection vehicle, for use in the intratumoral treatment of cancer, by combined antitumoral effect of radioactivity and intratumoral microparticle deposition. The antitumoral effect provided by the cytotoxicity of radioactivity is enhanced by a modulation of the tumoral immune response induced by microparticle deposition inside the tumor, thereby decreasing the dose of radioactivity required to treat solid tumors. A method of treating solid tumors using a sub-optimal tumor-volume coverage dose of radioactivity combined with intratumoral microparticle deposition as a mean of tumor control is also disclosed."
LOW MOLECULAR WEIGHT SILK COMPOSITIONS AND STABILIZING SILK COMPOSITIONS,The present disclosure provides certain silk-fibroin compositions with particular characteristics and/or properties.
METHOD OF TREATING CANCER BY INTRATUMORAL DEPOSITION OF RADIOACTIVE MICROPARTICLES,"The present invention relates to a composition comprising microparticles comprising a non-radioactive and a radioactive isotope, and an injection vehicle, for use in the intratumoral treatment of cancer, by combined antitumoral effect of radioactivity and intratumoral microparticle deposition, wherein the antitumoral effect provided by the cytotoxicity of radioactivity is enhanced by a modulation of the tumoral immune response induced by microparticle deposition inside the tumor, thereby decreasing the dose of radioactivity required to treat solid tumors. The present invention relates to a method of treating solid tumors using a sub-optimal tumor-volume coverage dose of radioactivity combined with intratumoral microparticle deposition as a mean of tumor control."
Eyewear System for Monitoring and Modifying Nutritional Intake,"This invention is an eyewear-based system and device for monitoring and modifying a person's nutritional intake. This invention can comprise eyewear with an imaging member which automatically records images of food when the person consumes food. These food images are automatically analyzed to estimate the type and quantity of food. This invention can also comprise a nutritional intake modification component which modifies the person's nutritional intake based on the type and quantity of food. This invention can reduce a person's nutritional intake of unhealthy types and/or quantities of food without reducing their nutritional intake of healthy types and/or quantities of food. It can serve as part of an overall system for better nutrition, weight management, and improved health."
ANTIBACTERIAL AND PROTECTIVE BACTERIOPHAGE FORMULATIONS AND METHODS FOR MAKING AND USING THEM,"Provided are compositions and methods for treating, ameliorating and preventing infections, disorders and conditions in mammals, including genetically-predisposed and chronic disorders, where a microbial or bacterial flora is at least one causative or symptom-producing factor. Provided are compositions and methods used to treat, prevent or ameliorate an infection, for example, an infection in the gastrointestinal tract, or bowel. Provided are compositions and methods for treating, ameliorating and/or preventing a condition comprising an abnormal, disrupted or pathological mucosal surface or mucus-covered epithelium, or a condition caused, modified or effected by an abnormal, disrupted or pathological microbiotia, wherein optionally the infection or condition comprises a diarrhea, a colitis, obesity, diabetes, autism, a cystic fibrosis, a dysentery, a gastrointestinal infection, a gastrointestinal inflammation, a gastrointestinal dysbiosis, a gastrointestinal upset, a lung infection, a bacterial infection, a viral infection, a secondary infection, an inflammation, a mucus hypersecretion, or a dysbiosis."
Use Of Hedgehog Pathway Inhibitors In Small-Cell Lung Cancer,"Elevated Hedgehog (Hh) pathway activity, including ligand stimulated Hh pathway activity, was detected in small-cell lung cancer (SCLQ cells, and determined to be associated with growth and proliferation of the cancer cells. Accordingly, methods are provided for treating SCLC associated with elevated Hh pathway activity by reducing or inhibiting the Hh pathway activity. Also provided are methods of determining the responsiveness of SCLC to treatment with a Hh pathway antagonist."
Use of dianhydrogalactitol and analogs and derivatives thereof to treat glioblastoma multiforme,The use of dianhydrogalactitol provides a novel therapeutic modality for the treatment of glioblastoma multiforme. Dianhydrogalactitol acts as an alkylating agent on DNA that creates N7 methylation. Dianhydrogalactitol is effective in suppressing the growth of cancer stem cells and is active against tumors that are refractory to temozolomide
METHOD AND SYSTEM FOR CHARACTERIZING MOUTH-ASSOCIATED CONDITIONS,"Embodiments of a system and method for characterizing a mouth-associated condition in relation to a user can include one or more of: a handling network operable to collect containers including material from a set of users, the handling network including a sequencing system operable to determine microorganism sequences from sequencing the material"
ARTICLES AND METHODS FOR GENERATING TUNABLE COLORATION AND INTERFERENCE UPON REFLECTION OF INCIDENT ELECTROMAGNETIC RADIATION,"Disclosed are articles, embodiments, and methods of formation related substrates which exhibit a tunable interference pattern (e.g., structural color) upon reflection of incident electromagnetic radiation."
"Compounds for hedgehog pathway blockade in proliferative disorders, including hematopoietic malignancies","Elevated Hedgehog (Hh) pathway activity, including ligand stimulated Hh pathway activity, was detected in hematopoietic malignancy cells, and determined to be associated with growth and proliferation of the malignancy cells. Accordingly, methods are provided for treating a hematopoietic cell malignancy associated with elevated Hh pathway activity by reducing or inhibiting the Hh pathway activity. Also provided are methods of determining the responsiveness of a hematopoietic cell malignancy to treatment with an Hh pathway antagonist."
METHODS OF DIAGNOSING AND TREATING PARTICULAR CAUSAL COMPONENTS OF CHRONIC PAIN IN A PATIENT,"The present disclosure teaches systems and methods of diagnosing and treating the distinct biologic components that contribute to chronic pain symptoms experienced by patients. A biologic sample is obtained from a patient. Levels of two or more biomarkers (e.g., methylmalonic acid, homocysteine, xanthurenic acid, 3-hydroxypropyl mercapturic acid (3-HPMA), pyroglutamate, hydroxymethylglutarate (HMG), quinolinic acid, kynurenine acid, 5-hydroxyindoleacetate (5-HIAA), vanilmandelate (VMA), and ethylmalonic acid) in the biologic sample are experimentally determined. Based on the existence of abnormal results in one or more biomarkers the patient is diagnosed as having the nerve health, oxidative stress, chronic inflammation pain, and/or neurotransmitter pain components to their chronic pain. Based on the resulting diagnoses administration of certain support compounds is directed. The patient may retest after a sufficient period of time to observe any longitudinal differences in the test results and adjust treatment accordingly. Further, the biomarker data gathered from pain-neutral and chronic pain patients (particularly those using opioid therapies) will be used to characterize biochemistries going forward."
Methods of predicting behavior of cancers,"Elevated Hedgehog (Hh) pathway activity, including ligand stimulated Hh pathway activity, was detected in prostate tumors, and determined to be associated with growth and proliferation of the cancer cells. Accordingly, methods are provided for treating a prostate cancer associated with elevated Hh pathway activity by reducing or inhibiting the Hh pathway activity. Also provided are methods of identifying a prostate tumor of a subject as, or as capable of becoming lethal and/or metastatic."
"MAGNETIC NANOPARTICLE FORMULATIONS, METHODS FOR MAKING SUCH FORMULATIONS, AND METHODS FOR THEIR USE","The present invention provides derivatized magnetic nanoparticles, methods for making such nanoparticles, and methods for their use."
"METHODS, DEVICES, AND SYSTEMS FOR DETECTING ANALYTE LEVELS","The present disclosure describes a method of quantifying analyte levels using gold nanoparticles. The present disclosure also describes a device to quantify analyte levels using gold nanoparticles and image processing of pixels isolated from a single vector. The methods, devices, and systems of the disclosure can be used to quantify analytes such as luteinizing hormone, progesterone, estradiol, or testosterone."
Compositions And Methods Comprising Yeast Organisms And Lipid Extracts Thereof,"Disclosed herein are methods and compositions comprising whole yeast organisms and/or lipid yeast extract. Such compositions may be cosmetic, medical, biotechnological or agricultural compositions, comprising one or more cosmetic, medical, biotechnological or agricultural ingredients. The invention comprises methods of making such compositions. The yeast components of the compositions may be derived from yeast cultures which comprise at least 0.1% oil by dry weight."
NOVEL CANNABIS LINES AND EXTRACTS FOR SKIN REJUVENATION AND SKIN PROTECTION,"The present invention provides new Cannabis lines, extracts and methods for skin rejuvenation and healing and protection against harmful environmental factors such as UV rays and other damaging agents. The method includes generation of unique lines, whole plant extract preparation, exposing human 3D skin tissues to UV and treating human 3D skin tissues with extracts in amount sufficient to modulate gene expression in the skin tissues before and after UV exposure. The modulation of gene expression then results in a reduction of the disease state-associated changes or aspects thereof in the cannabis-treated skin tissues."
DIAGNOSTIC AND METHODS OF TREATMENT FOR CHRONIC FATIGUE SYNDROME AND AUTISM SPECTRUM DISORDERS,The disclosure relates to biomarkers useful for diagnosing and predicting the development of chronic fatigue syndrome (CFS). The disclosure further provides methods to reset metabolism and facilitate healing in CFS patients by administering antipurinergic compounds.
MODULAR POLYMER PLATFORM FOR THE TREATMENT OF CANCER,The invention provides a novel polymer platform to deliver a desired combination of therapeutic agents to a site in need thereof for the treatment of cancer. In certain embodiments the platform is a modular polymer platform that allows for customization based upon the tumor of the subject to be treated.
Antibacterial and protective bacteriophage formulations and methods for making and using them,"In alternative embodiments, provided are compositions comprising chemically or structurally modified bacteriophages of the genus Caudovirales having an exterior or outer surface comprising at least one heterologous carbohydrate binding domain (CBD) comprising a lectin or a plurality of additional homologous CBDs, or more CBDs than found on a comparable wild type (WT) bacteriophage."
PATIENT-DERIVED CTC-XENOGRAFT MODELS,The present invention describes methods of establishing a personalized model for cancer using circulating tumor cells from the subject. The present invention also describes methods of identifying one or more drugs to treat cancer and identifying drug resistance in a subject with cancer using the personalized model for cancer.
POLY(AMINE-CO-ESTER) NANOPARTICLES AND METHODS OF USE THEREOF,"Polymers including poly(amine-co-ester), poly(amine-co-amide), or a combination thereof, and nanoparticles, particularly solid core nanoparticles, formed therefrom are provided. Solid core nanoparticles fabricated from hydrophobic polymers often require the presence of cationic complexing agents to stabilize negatively charged active agents such as siRNA. However, complexing agents are optional in the disclosed formulations because the nanoparticles contain cationic amines to stabilize negatively charged nucleic acids and hydrophobic domains to condense the nucleic acid into the core of the formed nanoparticles, thus improving encapsulation efficiency. This increase in nucleic acid loading allows the disclosed solid core nanoparticles to deliver more nucleic acid per cell without increasing total polymer delivered, further reducing cytotoxicity. Pharmaceutical compositions including an effective amount of the nanoparticles are also provided, and be used, for example, for in vitro and in vivo delivery of nucleic acids."
"DEVICES, SYSTEM AND METHOD TO CONTROL THE DELIVERY OF ORAL MEDICATIONS","The present invention describes a novel system, drug delivery device, mobile App, drug specific drug dispensing algorithm, and method to improve medication safety and effectiveness via the utilization of drug specific algorithms to control drug dispensing, avoid drug mediated adverse events, ensure prescription persistence and promote prescription compliance on a cost- effective real-time basis."
Compositions And Methods Useful In Detecting And Diagnosing Multiple Sclerosis,"Disclosed herein, are methods of detecting multiple sclerosis in a subject by measuring relative abundances of multiple oral microbiota in sample. Also, disclosed herein are methods of treatment and prophylaxis of MS."
ALLEVIATION OF LIVER INJURY BY ACTIVATING THE SIGNALING PATHWAY MEDIATED BY FARNESOID X RECEPTOR,The present disclosure provides methods method for alleviating liver injury using a Farnesoid X receptor (FXR) activator.
IMPROVING MICROBIAL FITNESS IN THE MAMMALIAN GUT,"The present invention provides for a powerful and systematic method of identifying genes that enhance bacterial fitness in the mammalian gastrointestinal (GI) tract. The identified genes can then be used to generate recombinant bacteria which may improve the health of a mammal, such as a human, or may be used to combat a gastrointestinal disorder."
SMALL MOLECULE AND PEPTIDE ARRAYS AND USES THEREOF,"Disclosed are competition assay methods for reliably detecting the presence and/or quantitation of small molecules (e.g., metabolites) and peptides / proteins in a sample by the use of capture agents specific for immobilized small molecules and/or peptides / proteins. Arrays comprising these small molecules and/or peptides / proteins are also provided."
Small molecule and peptide arrays and uses thereof,"Disclosed are competition assay methods for reliably detecting the presence and/or quantitation of small molecules (e.g., metabolites) and peptides/proteins in a sample by the use of capture agents specific for immobilized small molecules and/or peptides/proteins. Arrays comprising these small molecules and/or peptides/proteins are also provided."
BIODEGRADABLE ACTIVATED POLYMERS FOR THERAPEUTIC DELIVERY,"Activated polymers comprising one or more backbone ester(s) are disclosed. In particular, activated poly(amine-co-ester) (aPACE) terpolymers and methods of making and using these aPACE terpolymers are disclosed. These aPACE terpolymers can be used to safely and efficiently deliver biomolecules, in particular nucleic acids, to cells, both in vitro and in vivo. Methods for making activated polymers are also provided. Furthermore, methods for delivering mRNA and methods of gene therapy using activated polymers, in vitro and/or in vivo are further disclosed."
COMPOSITIONS AND METHODS TO DETECT GASTROINTESTINAL DISEASE,This invention is directed to compositions and methods to detect and treat gastrointestinal diseases.
COMPOSITIONS AND METHODS FOR CONTROLLED DELIVERY AND PROTECTION OF THERAPEUTIC AGENTS,"In some aspects, the present disclosure provides pharmaceutical compositions comprising a) a therapeutic agent"
"METHODS, ARTICLES AND KITS FOR ALLERGIC DESENSITIZATION, VIA THE ORAL MUCOSA",Compositions and methods of use for desensitizing a subject to an allergen via regions of the oral mucosa are provided.
ANTI-TUMOUR IMMUNE RESPONSES TO MODIFIED SELF-EPITOPES,The present invention relates to modified citrullinated enolase peptides that can be used as targets for cancer immunotherapy. These peptides can be used as vaccines or as targets for monoclonal antibody (mAb) therapy. Such vaccines or mAbs may be used in the treatment of cancer.
Anti-tumour immune responses to modified self-epitopes,The present invention relates to modified citrullinated enolase peptides that can be used as targets for cancer immunotherapy. These peptides can be used as vaccines or as targets for monoclonal antibody (mAb) therapy. Such vaccines cur mAbs may be used in the treatment of cancer.
"Devices, system and method to control the delivery of oral medications to ensure they are efficacious , taken as prescribed, and to avoid unwanted side effects","The present invention describes a novel system, drug delivery device, mobile App, drug specific drug dispensing algorithm, and method to improve medication safety and effectiveness via the utilization of drug specific algorithms to control drug dispensing, avoid drug mediated adverse events, ensure prescription persistence and promote prescription compliance on a cost-effective real-time basis."
"TYROSINE, TRYPTOPHAN AND PHENYLALANINE AS mTOR AGONISTS MEDIATING PROTEASOME DYNAMICS, COMPOSITIONS, METHODS AND USES THEREOF IN THERAPY, AND PROGNOSTIC METHODS FOR DRUG-RESISTANCE","The present disclosure provides mTOR agonists that selectively modulate proteasome dynamics, compositions, methods and uses thereof for modulation of stress-induced proteasome dynamics and related pathological conditions. The present disclosure specifically provides therapeutic methods for treating disorders associated with cytosolic accumulation of the proteasome. The invention further provides prognostic methods for detection and monitoring drug resistant cancers, as well as methods for screening for modulators of proteasome dynamics."
Method for diagnosing adenomas and/or colorectal cancer (CRC) based on analyzing the gut microbiome,"The present invention relates to a method for diagnosing adenomas and/or colorectal cancer (CRC), comprising the steps of a) obtaining a fecal sample comprising the gut microbiome from a human patient to be diagnosed, b) detecting the fecal metagenome in said sample comprising the species i) Fusobacterium nucleatum subsp. vincentii, Fusobacterium nucleatum subsp. animalis, Porphyromonas asaccharolytica, and Peptostreptococcus stomatis, and/or ii) Enterobacteriaceae bacterium 9_2_54FAA, Acidaminococcus intestini, Bacteroides stercoris, and Ruminococcaceae bacterium D16, and c) concluding on adenomas and/or CRC in said patient based on an increase of the abundance of said species as detected in said sample, as well as to related methods and uses."
Ex VIVO modifiable particle or polymeric material medicament carrier,"Described embodiments include a final dosage form, an article of manufacture, and method. A final dosage form for administering a medicament to an animal is described. The final dosage form includes the medicament. The final dosage form also includes a particle or polymeric material carrying the medicament in a first medicament-release state wherein the medicament is available to the animal in a first bioavailability if the final dosage form is administered to the animal. The particle or polymeric material is modifiable ex vivo by an exposure to a stimulus to carry the medicament in a second medicament-release state wherein the medicament is available to the animal in a second bioavailability if the final dosage form is administered to the animal. In an embodiment, the final dosage form further includes a transport medium suitable for delivering the particle or polymeric material binding the medicament to the animal."
CONTINUOUS SUBCUTANEOUS ADMINISTRATION OF INTERFERON-ALPHA TO HEPATITIS C INFECTED PATIENTS,"Methods and systems for treating Hepatitis C infections are provided. Typically the method comprises administering interferon-α to the patient subcutaneously using a continuous infusion apparatus, wherein this therapeutic regimen is sufficient to maintain circulating levels of interferon-α in the serum of the patient above a target concentration for a certain period of time."
"EXTRACT OF ORTHOSIPHON STAMINEUS, FORMULATIONS, AND USES THEREOF","Described herein is an extract of O. stamineus leaves, method of manufacturing the extract, formulations comprising the extract, and methods of using the extract in the treatment of a variety of physiological disorders including the inhibition of angiogenesis, and hence can be used in the treatment of angiogenesis associated disorders."
Beverage containers with detection capability,Methods and systems described herein include individual-use beverage containers including sensors and methods of their use. Beverage containers include: a vessel body configured to hold a beverage
System for ex vivo modification of medicament release state,Described embodiments include a system. A described system includes a computer-readable storage medium configured to indicate a stimulus to modify ex vivo a bioavailability of a medicament carried by a final dosage form based upon a selected medicament bioavailability of the final dosage form. The system also includes a holder configured to establish ex vivo of the animal a location of the final dosage form to receive the indicated stimulus from a stimulus source. The system further includes the stimulus source operable to provide the indicated stimulus. The system also includes a stimulation controller operable to regulate an ex vivo exposure of the final dosage form to the indicated stimulus.
"METHODS, ARTICLES AND KITS FOR ALLERGIC DESENSITIZATION VIA THE ORAL MUCOSA",Oral strip compositions and medical uses for desensitizing a subject to an allergen via regions of the oral mucosa are provided
METHODS AND COMPOSITIONS RELATING TO MICROBIAL TREATMENT AND DIAGNOSIS OF DISORDERS,"The present disclosure provides methods, systems, compositions, and kits to address the need for microbiome-related treatment of health conditions and disease. Specifically, the disclosure provides methods for treatment of metabolic conditions using microbial compositions, the method comprising: administering a therapeutically effective amount of a pharmaceutical composition comprising a population of isolated and purified microbe, wherein at least one of said microbes comprises a microbe that is capable of producing butyrate."
USE OF DIANHYDROGALACTITOL AND ANALOGS AND DERIVATIVES THEREOF TO TREAT RECURRENT MALIGNANT GLIOMA OR PROGRESSIVE SECONDARY BRIAN TUMOR,"Methods and compositions suitable for the treatment of malignancies such as recurrent glioma and progressive secondary brain tumor are disclosed. These methods employ a hexitol derivative such as dianhydrogalactitol, a derivative or analog of dianhydrogalactitol, diacetyldianhydrogalactitol, or a derivative or analog of diacetyldianhydrogalactitol. The compositions can include such hexitol derivatives."
Methods of diagnosing and treating cancer targeting extrachromosomal DNA,"Provided herein are, inter alia, methods and compositions to detect, monitor and treat cancer, wherein the cancer includes amplified extrachromosomal oncogenes. The methods are useful for personalized treatment and exploit differential expression of amplified extrachromosomal oncogenes in cancer cells versus healthy cells."
Ex vivo modifiable medicament release-sites final dosage form,"Described embodiments include a final dosage form, an article of manufacture, and method. A described final dosage form includes a dosage portion having a medicament, and a site and the medicament in a first association. In the first association, the medicament has a first bioavailability. The first association of the site and the medicament is modifiable ex vivo to a second association an exposure to a stimulus, wherein the medicament has a second bioavailability. The final dosage form includes another dosage portion having another medicament, and another site and the another medicament in another first association. In the another first association, the another medicament has another first bioavailability. The another first association is modifiable ex vivo to another second association of the another site and the another medicament by an exposure to another stimulus, wherein the another medicament has another second bioavailability."
Ex vivo-modifiable multiple-release state final dosage form,"Described embodiments include a final dosage form for administering a medicament to an animal, an article of manufacture, and method. A described final dosage form includes a medicament. The final dosage form also includes a release-control substance carrying the medicament in a first medicament-release state wherein the medicament has a first bioavailability to the animal if the final dosage form is administered to the animal. The release-control substance is modifiable ex vivo by an exposure to a first stimulus to carry the medicament in a second medicament-release state wherein the medicament has a second bioavailability to the animal if the final dosage form is administered to the animal. The release-control substance is modifiable ex vivo by an exposure to second stimulus to carry the medicament in a third medicament-release state wherein the medicament has a third bioavailability to the animal if the final dosage form is administered to the animal."
Ex vivo modifiable medicament release-substance,A described final dosage form includes a substance carrying a medicament in a first medicament-release state having a first bioavailability. The substance is modifiable ex vivo by an exposure to a first stimulus to carry the medicament in a second medicament-release state having a second bioavailability. The substance is modifiable ex vivo by an exposure to a second stimulus to carry the medicament in a third medicament-release state having a third bioavailability. The final dosage form includes another substance carrying another medicament in another first medicament-release state having another first bioavailability. The another substance is modifiable ex vivo by an exposure to another first stimulus to carry the another medicament in another second medicament-release state having another second bioavailability. The another substance is modifiable ex vivo by an exposure to another second stimulus to carry the another medicament in another third medicament-release state having another third bioavailability.
Multiple chamber ex vivo adjustable-release final dosage form,"Described embodiments include a final dosage form, an article of manufacture, and method. A described final dosage form includes a dosage portion having a chamber carrying a medicament. The dosage portion also has a release element in a first medicament-release state wherein the medicament has a first bioavailability to the animal. The release element is modifiable ex vivo to a second medicament-release state by an exposure to a stimulus, wherein the medicament has a second bioavailability to the animal. The final dosage form includes another dosage portion having another chamber carrying another medicament. The another dosage portion also has another release element in another first medicament-release state wherein the another medicament has another first bioavailability to the animal. The another release element is modifiable ex vivo to another second medicament-release state by an exposure to another stimulus, wherein the another medicament has another second bioavailability to the animal."
Ex vivo modifiable multiple medicament final dosage form,"Described embodiments include a final dosage form for administering a medicament to an animal, an article of manufacture, and method. A described final dosage form includes a dosage portion having a medicament and a release element in a first medicament-release state. The medicament has a first bioavailability to the animal. The release element is modifiable ex vivo to a second medicament-release state by an exposure to a stimulus, wherein the medicament has a second bioavailability to the animal. The final dosage form includes another dosage portion having another medicament and another release element in another first medicament-release state. In the another first medicament-release state, the another medicament has another first bioavailability to the animal. The another release element is modifiable ex vivo to another second medicament-release state by an exposure to another stimulus, wherein the another medicament has another second bioavailability to the animal."
Ex vivo modifiable medicament release-associations,"Described embodiments include a final dosage form, an article of manufacture, and method. A described final dosage form includes a medicament, and a substance associated with the medicament in a first release-control state. In the first release-control state, the medicament has a first bioavailability to the animal. The substance is modifiable ex vivo by an exposure to a stimulus to associate with the medicament in a second release-control state, wherein the medicament has a second bioavailability to the animal. The final dosage form also includes another medicament, and another substance associated with the another medicament in another first release-control state. In the another first release-control state, the another medicament has another first bioavailability to the animal. The another substance is modifiable ex vivo by an exposure to another stimulus to associate with the another medicament in another second release-control state, wherein the another medicament has another second bioavailability."
RADIOHALOGENATED AGENTS FOR IN SITU IMMUNE MODULATED CANCER VACCINATION,"A method of treating a malignant solid tumor in a subject is disclosed herein. The method includes the steps of administering to the subject an immunomodulatory dose of a radiohalogenated compound that is differentially taken up by and retained within malignant solid tumor tissue, and performing in situ tumor vaccination in the subject by intratumorally injecting into (or treating via a separate method) at least one of the malignant solid tumors a composition that includes one or more agents capable of stimulating specific immune cells within the tumor microenvironment. In certain exemplary embodiments, the radiohalogenated compound has the formula (A) wherein R1 is a radioactive halogen isotope, n is 18 and R2 is -N+(CH3)3."
Radiohalogenated agents for in situ immune modulated cancer vaccination,"A method of treating a malignant solid tumor in a subject is disclosed herein. The method includes the steps of administering to the subject an immunomodulatory dose of a radiohalogenated compound that is differentially taken up by and retained within malignant solid tumor tissue, and performing in situ tumor vaccination in the subject by intratumorally injecting into (or treating via a separate method) at least one of the malignant solid tumors a composition that includes one or more agents capable of stimulating specific immune cells within the tumor microenvironment. In certain exemplary embodiments, the radiohalogenated compound has the formula: wherein R 1 is a radioactive halogen isotope, n is 18 and R 2 is —N + (CH 3 ) 3 ."
DETERMINING CANCER RESPONSIVENESS TO TREATMENT,"Provided are methods of treatment for particular cancers and determining response to therapy with an anti-cancer agent that inhibits the activity of an enzyme that mediates repair of a DNA strand break, said methods including determining a property of an NPM1 nucleic acid or protein, such as an expression level, a mutational status and/or a subcellular location thereof. Also provided is a method of treating cancer which includes administering an agent that inhibits or prevents the expression and/or an activity of an NPM1 nucleic acid and/or protein and an anti-cancer agent that inhibits activity of an enzyme that mediates repair of a DNA strand break, such as a PARP inhibitor."
IMMUNITY MECHANISM AND THERAPEUTIC DRUG FOR GASTROINTESTINAL DISEASES,"The present invention relates to gastrointestinal diseases, such as non-infectious gastrointestinal diseases, including the immune mechanism of non-infectious gastrointestinal diseases in children, and the use of phosphodiesterase inhibitors and/or antiplatelet drugs in the treatment of gastrointestinal diseases such as non-infectious gastrointestinal diseases."
DETECTION OF HYPERMETHYLATED GENES FOR DIAGNOSING GASTRIC CANCER,"The invention relates to a method for diagnosing or identifying gastric cancer in a subject. The inventors indeed identified three DNA methylation biomarkers that, alone, or preferably in combination, can help diagnosing or following-up gastric cancer patients very specifically, discriminating with other type of cancers. Further, it can be used for determining, and/or adapting a suitable therapeutic regimen for a subject diagnosed for gastric cancer. The present invention also relates to kits comprising primers or probes to detect, diagnose, or identify hypermethylated genes."
BIS-FURAN DERIVATIVES AS TRANSTHYRETIN (TTR) STABILIZERS AND AMYLOID INHIBITORS FOR THE TREATMENT OF FAMILIAL AMYLOID POLYNEUROPATHY (FAP),"The design and synthesis of a novel bis-furan scaffold tailored for high efficiency at inhibiting transthyretin amyloid formation is reported. In vitro results show that the discovered compounds are more efficient inhibitors of amyloid formation than tafamidis, a drug currently used in the treatment of familial amyloid polyneuropathy (FAP), despite their lower molecular weight and lipophilicity. Moreover, ex vivo experiments with the strongest inhibitor in the series, conducted in human blood plasma from normal and FAP Val30Met-transthyretin carriers, disclose remarkable affinity and selectivity profiles. The promises and challenges facing further development of this compound are discussed under the light of increasing evidence implicating transthyretin stability as a key factor not only in transthyretin amyloidoses and several associated co-morbidities, but also in Alzheimer's disease."
Radiohalogenated Agents for in Situ Immune Modulated Cancer Vaccination,"wherein R1 is a radioactive halogen isotope, n is 18 and R2 is —N+(CH3)3."
SURROGATE OF VO2 MAX TEST,"Methods to compute VO2 max and applications thereof are described. Generally, systems and methods utilize analyte measurements acquired from an individual in a resting state to determine VO2 max, which can be used as a basis to inform health status or treat the individual."
HETEROLOGOUS PLASMA COCKTAIL FOR HIV TREATMENT,The present invention is to a heterologous plasma cocktail and a method to treat and/or prevent HIV infection with the cocktail.
